Spot,C_Gel1_IS,C_Gel1_Total (Cy3),C_Gel1_Carbonyl (Cy5),C_Gel2_IS,C_Gel2_Total (Cy3),C_Gel2_Carbonyl (Cy5),C_Gel3_IS,C_Gel3_Total (Cy3),C_Gel3_Carbonyl (Cy5),C_Gel4_IS,C_Gel4_Total (Cy3),C_Gel4_Carbonyl (Cy5),T_Gel1_IS,T_Gel1_Total (Cy3),T_Gel1_Carbonyl (Cy5),T_Gel2_IS,T_Gel2_Total (Cy3),T_Gel2_Carbonyl (Cy5),T_Gel3_IS,T_Gel3_Total (Cy3),T_Gel3_Carbonyl (Cy5),T_Gel4_IS,T_Gel4_Total (Cy3),T_Gel4_Carbonyl (Cy5)
659,1825506.6562074,151025.144465572,282759.39436407,1428684.56507175,102707.755046086,318999.402364234,1397064.90391414,111312.384680477,251448.798131762,1381376.39303965,119865.480807623,225852.914753779,1320644.84653143,96961.7770097452,244132.676314557,1562843.20735758,112896.344099398,260046.218745743,1802860.57712649,77468.191111948,259014.250333148,830529.9202674,70101.6274098476,156877.277902455
642,425917.093720442,38993.3821897564,255365.078942265,475023.375802154,31421.7942193588,233609.895251066,252694.360618296,20970.1703017271,170147.000515677,301738.070168491,25767.8275484694,189285.138442093,383300.439693634,18470.7554663125,208600.682306747,397999.276186819,22195.6343196844,256475.513828485,354982.488497489,10834.4206139456,188900.800859082,493954.633518138,25286.8503517439,280121.194412019
637,943406.04773212,72222.9429273222,130321.525769414,806086.448050423,65581.9989042065,226981.044666907,944159.523540319,70689.8371469436,139249.703378889,843742.857207843,71304.8699266923,102827.789999034,716030.86272039,32500.4105797552,182749.943141585,866370.897799757,39946.9695577054,173480.782821442,885393.040449162,21655.623825038,122118.139651389,811537.714402974,37184.2494146364,155837.460067032
671,6052233.62644014,514910.37157576,922534.069363181,7198548.10530009,553520.486965808,1254521.49998062,5411305.05979177,442004.17899964,909379.090420195,4604217.26398727,411583.252884549,784587.967216999,5654508.54670873,370509.483603675,701124.192235448,5493466.93590167,352273.057962125,810058.075258123,6541864.9606009,221870.641834381,619508.223542081,4678258.39245147,331779.827858775,591278.642540679
638,168284.975310861,11688.9454846218,30272.8350934229,104867.500549858,7148.3275492476,25372.6352570979,145155.627308304,9961.7973912087,31879.3535146322,110836.185494519,7846.6927568575,22406.7569862371,52542.7233737026,2801.1793740351,12517.7181658021,168743.29310481,9496.7665952798,41882.7164980897,120540.847411554,3610.2216597023,30419.4053224558,142653.523686364,7671.570161281,39202.2612360446
670,5863988.08742979,530752.594432291,1345198.25900473,6900498.79297683,554667.054618259,1755948.77092115,5310058.6551453,463431.597825468,1139426.45463855,4936155.18971355,484057.595512383,1196918.45666681,5848187.42590453,272747.062091889,1194642.19402224,5559517.0352444,265664.87403898,1198909.06946972,5618076.72245958,132928.334270321,774751.249903569,4687498.13601083,226646.302736023,804048.473109912
674,8829905.37368182,746774.914462591,1041592.67143209,9488907.59871336,731522.959669574,1136227.3737203,8570327.09499446,679973.425811834,1147449.29567393,6818600.90001768,599510.096998108,886568.688990646,9617658.16101273,650541.11840601,961968.925069335,8434657.23546857,604150.399182659,891630.554055516,8757901.93094778,330816.934446013,759339.70061878,8041187.20623338,594147.74519615,788567.752477346
655,335458.090011428,29420.9613823727,200952.624812693,772143.979751251,51943.8835487272,202964.625899983,467830.208771232,38582.7199575074,140810.728877064,398120.292279811,34091.7106201243,186978.289483031,522547.080717984,28773.6068171307,135040.974808421,477998.249160395,28315.2456917091,140767.532149434,397531.185481135,10258.8302075983,139487.158005855,430305.946749341,27188.0754041193,148168.77218214
649,1551212.34120323,138526.546492229,466694.024978632,1624419.59276709,118009.151514313,534286.706398832,1998492.76885419,156027.111302378,328103.257729046,1324953.6848191,124271.333534358,439034.544605067,945488.335284315,48321.0106126667,705522.069060859,1285379.74421505,72684.5250410162,999252.312607865,1375094.44658289,40787.8060373402,849727.841352006,1263708.45134786,75193.3318390955,787126.397001996
657,273793.378320884,20009.0001823084,132623.803875238,204238.433753848,16558.5826861129,115247.993562816,223018.173373421,14676.3035223816,126243.285235114,199538.926505515,15200.8611665881,84776.4722379699,210804.783427979,15571.5987212384,121554.21744874,225973.828630084,20680.7534630371,149242.464029006,331033.781989344,11190.749790573,144998.308150027,208625.261915397,19279.8681627109,120031.776565838
