"SampleName","glycan","area","narea"
"E_36","GP3",18281,0.0990214850785276
"E_37","GP3",20265,0.102357567790233
"E_38","GP3",25531,0.12380193106961
"E_38_R2","GP3",17845,0.100361029753094
"E_39","GP3",19981,0.10317328728393
"E_39_R2","GP3",18215,0.10186519848055
"E_40","GP3",24195,0.123032234292834
"E_40_R2","GP3",18792,0.104423559115198
"E_41","GP3",19424,0.0950247331416466
"E_42","GP3",20695,0.10359188790672
"E_43","GP3",19925,0.102719131354441
"E_44","GP3",16293,0.0799807492477598
"E_45","GP3",19554,0.0997642066801713
"E_46","GP3",21722,0.111751134411375
"E_47","GP3",24009,0.101404787223326
"E_48","GP3",22208,0.103111350647726
"E_49","GP3",21558,0.101209751835172
"E_50","GP3",20692,0.103298198866206
"E_51","GP3",22255,0.104572238460039
"E_52","GP3",20965,0.0978107194390139
"E_53","GP3",24150,0.101420316996655
"E_54","GP3",20992,0.0985561699509881
"E_55","GP3",21644,0.0919316941226451
"E_56","GP3",26032,0.113808481118884
"E_57","GP3",18613,0.0946917136839625
"E_58","GP3",24148,0.113641005484774
"E_59","GP3",26702,0.131269963400054
"E_60","GP3",18513,0.0911730878201757
"E_61","GP3",20212,0.103623197507752
"E_62","GP3",18951,0.0896678131869931
"E_63","GP3",28034,0.125044180730903
"E_64","GP3",19640,0.0970661268920172
"E_65","GP3",20382,0.105819534445967
"E_65_R1","GP3",17295,0.096108428311837
"E_66","GP3",21859,0.112461846884988
"E_67","GP3",21999,0.107068590575531
"E_67_R1","GP3",18836,0.10371776653514
"E_68","GP3",20128,0.101018825647118
"E_69","GP3",23002,0.133778182722084
"E_70","GP3",22609,0.108924521507041
"E_70_R1","GP3",16491,0.105829979847318
"E_71","GP3",19592,0.0985345698570218
"E_72","GP3",18656,0.0887912430588412
"E_73","GP3",22314,0.111083410229829
"E_74","GP3",20878,0.0902666419879622
"E_75","GP3",22353,0.112349876605125
"E_76","GP3",19489,0.0967880607166915
"E_77","GP3",27173,0.126465572769481
"E_78","GP3",21628,0.106103429552484
"E_79","GP3",28701,0.132452898367633
"E_80","GP3",21696,0.0994701892024229
"E_81","GP3",19934,0.0876244430612553
"E_82","GP3",25233,0.113932258596291
"E_83","GP3",21262,0.0971706530917196
"E_84","GP3",19131,0.0957769719738086
"E_85","GP3",20869,0.103170231524698
"E_86","GP3",24303,0.109743386609654
"E_87_R1","GP3",19363,0.10438455565727
"E_88_R1","GP3",19652,0.108608422259288
"E_89_R1","GP3",20207,0.109637361148571
"E_90_R1","GP3",18310,0.104239454479809
"E_91_R1","GP3",18018,0.105064177313905
"E_92_R1","GP3",20908,0.11004844752895
"E_93_R1","GP3",21070,0.10992779460375
"E_94_R1","GP3",19433,0.0982870995867875
"E_95_R1","GP3",18753,0.0982574690452034
"E_96_R1","GP3",19089,0.096609277041336
"A_01_R1","GP4",3626773,20.0142199806953
"A_02_R1","GP4",3890074,20.143635369231
"A_03_R1","GP4",4050432,20.4531706936011
"A_04_R1","GP4",3155691,20.4955352248573
"A_05","GP4",3483282,20.2727998590622
"A_06","GP4",3288846,20.1165764008481
"A_07","GP4",4123330,20.321698830997
"A_08","GP4",2654331,20.6493014264912
"A_09","GP4",3582482,20.0791196955828
"A_10","GP4",4288559,20.1966695756817
"A_11","GP4",4077952,20.2465933017742
"A_12","GP4",4434533,20.2335937209482
"A_13","GP4",4336889,20.1756334541127
"A_14","GP4",4398949,19.9806758870144
"A_15","GP4",4627603,20.1993287817507
"A_16","GP4",2999823,20.067174146389
"A_17","GP4",3778782,20.188049790802
